text,label,case folding,tokenizing,filtering,stemmed
1 3 feel sad watch two earthquak disast turkey claim mani live includ christian atsu high time earthquak zone countri incorpor basic earthquak resist design modern construct design,negatif,1 3 feel sad watch two earthquak disast turkey claim mani live includ christian atsu high time earthquak zone countri incorpor basic earthquak resist design modern construct design,"['1', '3', 'feel', 'sad', 'watch', 'two', 'earthquak', 'disast', 'turkey', 'claim', 'mani', 'live', 'includ', 'christian', 'atsu', 'high', 'time', 'earthquak', 'zone', 'countri', 'incorpor', 'basic', 'earthquak', 'resist', 'design', 'modern', 'construct', 'design']","['1', '3', 'feel', 'sad', 'watch', 'two', 'earthquak', 'disast', 'turkey', 'claim', 'mani', 'live', 'includ', 'christian', 'atsu', 'high', 'time', 'earthquak', 'zone', 'countri', 'incorpor', 'basic', 'earthquak', 'resist', 'design', 'modern', 'construct', 'design']","['1', '3', 'feel', 'sad', 'watch', 'two', 'earthquak', 'disast', 'turkey', 'claim', 'mani', 'live', 'includ', 'christian', 'atsu', 'high', 'time', 'earthquak', 'zone', 'countri', 'incorpor', 'basic', 'earthquak', 'resist', 'design', 'modern', 'construct', 'design']"
though mani noth els lose must reliv trauma live chang forev ya rabb pour merci upon surround tranquil make firm heart ground beneath ameen,positif,though mani noth els lose must reliv trauma live chang forev ya rabb pour merci upon surround tranquil make firm heart ground beneath ameen,"['though', 'mani', 'noth', 'els', 'lose', 'must', 'reliv', 'trauma', 'live', 'chang', 'forev', 'ya', 'rabb', 'pour', 'merci', 'upon', 'surround', 'tranquil', 'make', 'firm', 'heart', 'ground', 'beneath', 'ameen']","['though', 'mani', 'noth', 'els', 'lose', 'must', 'reliv', 'trauma', 'live', 'chang', 'forev', 'ya', 'rabb', 'pour', 'merci', 'upon', 'surround', 'tranquil', 'make', 'firm', 'heart', 'ground', 'beneath', 'ameen']","['though', 'mani', 'noth', 'el', 'lose', 'must', 'reliv', 'trauma', 'live', 'chang', 'forev', 'ya', 'rabb', 'pour', 'merci', 'upon', 'surround', 'tranquil', 'make', 'firm', 'heart', 'ground', 'beneath', 'ameen']"
offici say least three peopl kill 294 peopl injur follow monday aftershock northwest syria 130 injuri white helmet volunt rescu group said monday,negatif,offici say least three peopl kill 294 peopl injur follow monday aftershock northwest syria 130 injuri white helmet volunt rescu group said monday,"['offici', 'say', 'least', 'three', 'peopl', 'kill', '294', 'peopl', 'injur', 'follow', 'monday', 'aftershock', 'northwest', 'syria', '130', 'injuri', 'white', 'helmet', 'volunt', 'rescu', 'group', 'said', 'monday']","['offici', 'say', 'least', 'three', 'peopl', 'kill', '294', 'peopl', 'injur', 'follow', 'monday', 'aftershock', 'northwest', 'syria', '130', 'injuri', 'white', 'helmet', 'volunt', 'rescu', 'group', 'said', 'monday']","['offici', 'say', 'least', 'three', 'peopl', 'kill', '294', 'peopl', 'injur', 'follow', 'monday', 'aftershock', 'northwest', 'syria', '130', 'injuri', 'white', 'helmet', 'volunt', 'rescu', 'group', 'said', 'monday']"
struck anoth 6 4,negatif,struck anoth 6 4,"['struck', 'anoth', '6', '4']","['struck', 'anoth', '6', '4']","['struck', 'anoth', '6', '4']"
horror may allah merci upon,negatif,horror may allah merci upon,"['horror', 'may', 'allah', 'merci', 'upon']","['horror', 'may', 'allah', 'merci', 'upon']","['horror', 'may', 'allah', 'merci', 'upon']"
6 4 magnitud earthquak second measur 5 8 hit larger quak strike depth 2km 1 2 mile magnifi,negatif,6 4 magnitud earthquak second measur 5 8 hit larger quak strike depth 2km 1 2 mile magnifi,"['6', '4', 'magnitud', 'earthquak', 'second', 'measur', '5', '8', 'hit', 'larger', 'quak', 'strike', 'depth', '2km', '1', '2', 'mile', 'magnifi']","['6', '4', 'magnitud', 'earthquak', 'second', 'measur', '5', '8', 'hit', 'larger', 'quak', 'strike', 'depth', '2km', '1', '2', 'mile', 'magnifi']","['6', '4', 'magnitud', 'earthquak', 'second', 'measur', '5', '8', 'hit', 'larger', 'quak', 'strike', 'depth', '2km', '1', '2', 'mile', 'magnifi']"
abba father merci,positif,abba father merci,"['abba', 'father', 'merci']","['abba', 'father', 'merci']","['abba', 'father', 'merci']"
turkey syria border hit anoth 6 4 magnitud earthquak,negatif,turkey syria border hit anoth 6 4 magnitud earthquak,"['turkey', 'syria', 'border', 'hit', 'anoth', '6', '4', 'magnitud', 'earthquak']","['turkey', 'syria', 'border', 'hit', 'anoth', '6', '4', 'magnitud', 'earthquak']","['turkey', 'syria', 'border', 'hit', 'anoth', '6', '4', 'magnitud', 'earthquak']"
allah show way plan beauti miracl promis eas hardship take care trust,positif,allah show way plan beauti miracl promis eas hardship take care trust,"['allah', 'show', 'way', 'plan', 'beauti', 'miracl', 'promis', 'eas', 'hardship', 'take', 'care', 'trust']","['allah', 'show', 'way', 'plan', 'beauti', 'miracl', 'promis', 'eas', 'hardship', 'take', 'care', 'trust']","['allah', 'show', 'way', 'plan', 'beauti', 'miracl', 'promi', 'ea', 'hardship', 'take', 'care', 'trust']"
break 6 4 earthquak hit turkey syria border two week devast earthquak pray turkey syria,negatif,break 6 4 earthquak hit turkey syria border two week devast earthquak pray turkey syria,"['break', '6', '4', 'earthquak', 'hit', 'turkey', 'syria', 'border', 'two', 'week', 'devast', 'earthquak', 'pray', 'turkey', 'syria']","['break', '6', '4', 'earthquak', 'hit', 'turkey', 'syria', 'border', 'two', 'week', 'devast', 'earthquak', 'pray', 'turkey', 'syria']","['break', '6', '4', 'earthquak', 'hit', 'turkey', 'syria', 'border', 'two', 'week', 'devast', 'earthquak', 'pray', 'turkey', 'syria']"
oh god know mother natur store may god help may children n infant orphan land good kind hand,positif,oh god know mother natur store may god help may children n infant orphan land good kind hand,"['oh', 'god', 'know', 'mother', 'natur', 'store', 'may', 'god', 'help', 'may', 'children', 'n', 'infant', 'orphan', 'land', 'good', 'kind', 'hand']","['oh', 'god', 'know', 'mother', 'natur', 'store', 'may', 'god', 'help', 'may', 'children', 'n', 'infant', 'orphan', 'land', 'good', 'kind', 'hand']","['oh', 'god', 'know', 'mother', 'natur', 'store', 'may', 'god', 'help', 'may', 'children', 'n', 'infant', 'orphan', 'land', 'good', 'kind', 'hand']"
whole countri turn huge cemeteri,positif,whole countri turn huge cemeteri,"['whole', 'countri', 'turn', 'huge', 'cemeteri']","['whole', 'countri', 'turn', 'huge', 'cemeteri']","['whole', 'countri', 'turn', 'huge', 'cemeteri']"
may allah bless,positif,may allah bless,"['may', 'allah', 'bless']","['may', 'allah', 'bless']","['may', 'allah', 'bless']"
devast turkey,negatif,devast turkey,"['devast', 'turkey']","['devast', 'turkey']","['devast', 'turkey']"
break heart read today news may allah swt aameen prayer,negatif,break heart read today news may allah swt aameen prayer,"['break', 'heart', 'read', 'today', 'news', 'may', 'allah', 'swt', 'aameen', 'prayer']","['break', 'heart', 'read', 'today', 'news', 'may', 'allah', 'swt', 'aameen', 'prayer']","['break', 'heart', 'read', 'today', 'news', 'may', 'allah', 'swt', 'aameen', 'prayer']"
three peopl die 6 4 magnitud earthquak struck southern turkey yesterday,negatif,three peopl die 6 4 magnitud earthquak struck southern turkey yesterday,"['three', 'peopl', 'die', '6', '4', 'magnitud', 'earthquak', 'struck', 'southern', 'turkey', 'yesterday']","['three', 'peopl', 'die', '6', '4', 'magnitud', 'earthquak', 'struck', 'southern', 'turkey', 'yesterday']","['three', 'peopl', 'die', '6', '4', 'magnitud', 'earthquak', 'struck', 'southern', 'turkey', 'yesterday']"
least 3 peopl dead 213 wound two fresh earthquak jolt southern hatay provinc turkey 32 aftershock report far two earthquak magnitud 6 3 5 8,negatif,least 3 peopl dead 213 wound two fresh earthquak jolt southern hatay provinc turkey 32 aftershock report far two earthquak magnitud 6 3 5 8,"['least', '3', 'peopl', 'dead', '213', 'wound', 'two', 'fresh', 'earthquak', 'jolt', 'southern', 'hatay', 'provinc', 'turkey', '32', 'aftershock', 'report', 'far', 'two', 'earthquak', 'magnitud', '6', '3', '5', '8']","['least', '3', 'peopl', 'dead', '213', 'wound', 'two', 'fresh', 'earthquak', 'jolt', 'southern', 'hatay', 'provinc', 'turkey', '32', 'aftershock', 'report', 'far', 'two', 'earthquak', 'magnitud', '6', '3', '5', '8']","['least', '3', 'peopl', 'dead', '213', 'wound', 'two', 'fresh', 'earthquak', 'jolt', 'southern', 'hatay', 'provinc', 'turkey', '32', 'aftershock', 'report', 'far', 'two', 'earthquak', 'magnitud', '6', '3', '5', '8']"
rohingya peopl show solidar turkey syria victim send gift prayer even poem,negatif,rohingya peopl show solidar turkey syria victim send gift prayer even poem,"['rohingya', 'peopl', 'show', 'solidar', 'turkey', 'syria', 'victim', 'send', 'gift', 'prayer', 'even', 'poem']","['rohingya', 'peopl', 'show', 'solidar', 'turkey', 'syria', 'victim', 'send', 'gift', 'prayer', 'even', 'poem']","['rohingya', 'peopl', 'show', 'solidar', 'turkey', 'syria', 'victim', 'send', 'gift', 'prayer', 'even', 'poem']"
turkey hit two power earthquak two week disast tremor 6 4 5 8 magnitud struck south east near border,negatif,turkey hit two power earthquak two week disast tremor 6 4 5 8 magnitud struck south east near border,"['turkey', 'hit', 'two', 'power', 'earthquak', 'two', 'week', 'disast', 'tremor', '6', '4', '5', '8', 'magnitud', 'struck', 'south', 'east', 'near', 'border']","['turkey', 'hit', 'two', 'power', 'earthquak', 'two', 'week', 'disast', 'tremor', '6', '4', '5', '8', 'magnitud', 'struck', 'south', 'east', 'near', 'border']","['turkey', 'hit', 'two', 'power', 'earthquak', 'two', 'week', 'disast', 'tremor', '6', '4', '5', '8', 'magnitud', 'struck', 'south', 'east', 'near', 'border']"
un readi provid addit support two fresh earthquak hit turkey,positif,un readi provid addit support two fresh earthquak hit turkey,"['un', 'readi', 'provid', 'addit', 'support', 'two', 'fresh', 'earthquak', 'hit', 'turkey']","['un', 'readi', 'provid', 'addit', 'support', 'two', 'fresh', 'earthquak', 'hit', 'turkey']","['un', 'readi', 'provid', 'addit', 'support', 'two', 'fresh', 'earthquak', 'hit', 'turkey']"
allah reham merci turkey us ameem 4,positif,allah reham merci turkey us ameem 4,"['allah', 'reham', 'merci', 'turkey', 'us', 'ameem', '4']","['allah', 'reham', 'merci', 'turkey', 'us', 'ameem', '4']","['allah', 'reham', 'merci', 'turkey', 'us', 'ameem', '4']"
anoth earthquak hit turkey kill 3 injur hundr,negatif,anoth earthquak hit turkey kill 3 injur hundr,"['anoth', 'earthquak', 'hit', 'turkey', 'kill', '3', 'injur', 'hundr']","['anoth', 'earthquak', 'hit', 'turkey', 'kill', '3', 'injur', 'hundr']","['anoth', 'earthquak', 'hit', 'turkey', 'kill', '3', 'injur', 'hundr']"
send thought prayer affect devast earthquak turkey syria may find strength comfort difficult time let support relief effort way,positif,send thought prayer affect devast earthquak turkey syria may find strength comfort difficult time let support relief effort way,"['send', 'thought', 'prayer', 'affect', 'devast', 'earthquak', 'turkey', 'syria', 'may', 'find', 'strength', 'comfort', 'difficult', 'time', 'let', 'support', 'relief', 'effort', 'way']","['send', 'thought', 'prayer', 'affect', 'devast', 'earthquak', 'turkey', 'syria', 'may', 'find', 'strength', 'comfort', 'difficult', 'time', 'let', 'support', 'relief', 'effort', 'way']","['send', 'thought', 'prayer', 'affect', 'devast', 'earthquak', 'turkey', 'syria', 'may', 'find', 'strength', 'comfort', 'difficult', 'time', 'let', 'support', 'relief', 'effort', 'way']"
pair earthquak measur 6 4 5 8 magnitud struck turkey southeastern hatay provinc monday three dead 213 hospitalis,negatif,pair earthquak measur 6 4 5 8 magnitud struck turkey southeastern hatay provinc monday three dead 213 hospitalis,"['pair', 'earthquak', 'measur', '6', '4', '5', '8', 'magnitud', 'struck', 'turkey', 'southeastern', 'hatay', 'provinc', 'monday', 'three', 'dead', '213', 'hospitalis']","['pair', 'earthquak', 'measur', '6', '4', '5', '8', 'magnitud', 'struck', 'turkey', 'southeastern', 'hatay', 'provinc', 'monday', 'three', 'dead', '213', 'hospitalis']","['pair', 'earthquak', 'measur', '6', '4', '5', '8', 'magnitud', 'struck', 'turkey', 'southeastern', 'hatay', 'provinc', 'monday', 'three', 'dead', '213', 'hospitali']"
panic turkey syria rock 6 3m earthquak,negatif,panic turkey syria rock 6 3m earthquak,"['panic', 'turkey', 'syria', 'rock', '6', '3m', 'earthquak']","['panic', 'turkey', 'syria', 'rock', '6', '3m', 'earthquak']","['panic', 'turkey', 'syria', 'rock', '6', '3m', 'earthquak']"
hindu send donat rescu team muslim countri turkey muslim get first thing mind let convert get place jannah,positif,hindu send donat rescu team muslim countri turkey muslim get first thing mind let convert get place jannah,"['hindu', 'send', 'donat', 'rescu', 'team', 'muslim', 'countri', 'turkey', 'muslim', 'get', 'first', 'thing', 'mind', 'let', 'convert', 'get', 'place', 'jannah']","['hindu', 'send', 'donat', 'rescu', 'team', 'muslim', 'countri', 'turkey', 'muslim', 'get', 'first', 'thing', 'mind', 'let', 'convert', 'get', 'place', 'jannah']","['hindu', 'send', 'donat', 'rescu', 'team', 'muslim', 'countri', 'turkey', 'muslim', 'get', 'first', 'thing', 'mind', 'let', 'convert', 'get', 'place', 'jannah']"
heart turkey syria prayer wish could know mani feel ya rabb pour merci upon surround tranquil make firm heart ground beneath ameen,positif,heart turkey syria prayer wish could know mani feel ya rabb pour merci upon surround tranquil make firm heart ground beneath ameen,"['heart', 'turkey', 'syria', 'prayer', 'wish', 'could', 'know', 'mani', 'feel', 'ya', 'rabb', 'pour', 'merci', 'upon', 'surround', 'tranquil', 'make', 'firm', 'heart', 'ground', 'beneath', 'ameen']","['heart', 'turkey', 'syria', 'prayer', 'wish', 'could', 'know', 'mani', 'feel', 'ya', 'rabb', 'pour', 'merci', 'upon', 'surround', 'tranquil', 'make', 'firm', 'heart', 'ground', 'beneath', 'ameen']","['heart', 'turkey', 'syria', 'prayer', 'wish', 'could', 'know', 'mani', 'feel', 'ya', 'rabb', 'pour', 'merci', 'upon', 'surround', 'tranquil', 'make', 'firm', 'heart', 'ground', 'beneath', 'ameen']"
panic turkey syria rock 6 4 earthquak video,negatif,panic turkey syria rock 6 4 earthquak video,"['panic', 'turkey', 'syria', 'rock', '6', '4', 'earthquak', 'video']","['panic', 'turkey', 'syria', 'rock', '6', '4', 'earthquak', 'video']","['panic', 'turkey', 'syria', 'rock', '6', '4', 'earthquak', 'video']"
mani prayer turkey may allah almighti save protect ameen,positif,mani prayer turkey may allah almighti save protect ameen,"['mani', 'prayer', 'turkey', 'may', 'allah', 'almighti', 'save', 'protect', 'ameen']","['mani', 'prayer', 'turkey', 'may', 'allah', 'almighti', 'save', 'protect', 'ameen']","['mani', 'prayer', 'turkey', 'may', 'allah', 'almighti', 'save', 'protect', 'ameen']"
pray turkey,positif,pray turkey,"['pray', 'turkey']","['pray', 'turkey']","['pray', 'turkey']"
korean rescu worker meet fgrf volunt share work progress effort,positif,korean rescu worker meet fgrf volunt share work progress effort,"['korean', 'rescu', 'worker', 'meet', 'fgrf', 'volunt', 'share', 'work', 'progress', 'effort']","['korean', 'rescu', 'worker', 'meet', 'fgrf', 'volunt', 'share', 'work', 'progress', 'effort']","['korean', 'rescu', 'worker', 'meet', 'fgrf', 'volunt', 'share', 'work', 'progress', 'effort']"
magnitud 6 3 aftershock strike southern turkey kill 3 injur hundr 2 week massiv quak kill thousand,negatif,magnitud 6 3 aftershock strike southern turkey kill 3 injur hundr 2 week massiv quak kill thousand,"['magnitud', '6', '3', 'aftershock', 'strike', 'southern', 'turkey', 'kill', '3', 'injur', 'hundr', '2', 'week', 'massiv', 'quak', 'kill', 'thousand']","['magnitud', '6', '3', 'aftershock', 'strike', 'southern', 'turkey', 'kill', '3', 'injur', 'hundr', '2', 'week', 'massiv', 'quak', 'kill', 'thousand']","['magnitud', '6', '3', 'aftershock', 'strike', 'southern', 'turkey', 'kill', '3', 'injur', 'hundr', '2', 'week', 'massiv', 'quak', 'kill', 'thousand']"
oh allah save syria rkiy make last disast may face forget donat,negatif,oh allah save syria rkiy make last disast may face forget donat,"['oh', 'allah', 'save', 'syria', 'rkiy', 'make', 'last', 'disast', 'may', 'face', 'forget', 'donat']","['oh', 'allah', 'save', 'syria', 'rkiy', 'make', 'last', 'disast', 'may', 'face', 'forget', 'donat']","['oh', 'allah', 'save', 'syria', 'rkiy', 'make', 'last', 'disast', 'may', 'face', 'forget', 'donat']"
one care,positif,one care,"['one', 'care']","['one', 'care']","['one', 'care']"
pray turkey god heal problem,positif,pray turkey god heal problem,"['pray', 'turkey', 'god', 'heal', 'problem']","['pray', 'turkey', 'god', 'heal', 'problem']","['pray', 'turkey', 'god', 'heal', 'problem']"
anoth 6 4 magnitud earthquak turkey even imagin still recov previou tragedi lost lot face anoth disast may allah merci muslim ummah around world,negatif,anoth 6 4 magnitud earthquak turkey even imagin still recov previou tragedi lost lot face anoth disast may allah merci muslim ummah around world,"['anoth', '6', '4', 'magnitud', 'earthquak', 'turkey', 'even', 'imagin', 'still', 'recov', 'previou', 'tragedi', 'lost', 'lot', 'face', 'anoth', 'disast', 'may', 'allah', 'merci', 'muslim', 'ummah', 'around', 'world']","['anoth', '6', '4', 'magnitud', 'earthquak', 'turkey', 'even', 'imagin', 'still', 'recov', 'previou', 'tragedi', 'lost', 'lot', 'face', 'anoth', 'disast', 'may', 'allah', 'merci', 'muslim', 'ummah', 'around', 'world']","['anoth', '6', '4', 'magnitud', 'earthquak', 'turkey', 'even', 'imagin', 'still', 'recov', 'previou', 'tragedi', 'lost', 'lot', 'face', 'anoth', 'disast', 'may', 'allah', 'merci', 'muslim', 'ummah', 'around', 'world']"
prime minist share glimps interact took part oper dost,positif,prime minist share glimps interact took part oper dost,"['prime', 'minist', 'share', 'glimps', 'interact', 'took', 'part', 'oper', 'dost']","['prime', 'minist', 'share', 'glimps', 'interact', 'took', 'part', 'oper', 'dost']","['prime', 'minist', 'share', 'glimp', 'interact', 'took', 'part', 'oper', 'dost']"
300 peopl injur 2 turkish provinc condit 18 seriou turkish ministri health,negatif,300 peopl injur 2 turkish provinc condit 18 seriou turkish ministri health,"['300', 'peopl', 'injur', '2', 'turkish', 'provinc', 'condit', '18', 'seriou', 'turkish', 'ministri', 'health']","['300', 'peopl', 'injur', '2', 'turkish', 'provinc', 'condit', '18', 'seriou', 'turkish', 'ministri', 'health']","['300', 'peopl', 'injur', '2', 'turkish', 'provinc', 'condit', '18', 'seriou', 'turkish', 'ministri', 'health']"
20 second long fresh tremor earthquak felt omani nation search rescu team,positif,20 second long fresh tremor earthquak felt omani nation search rescu team,"['20', 'second', 'long', 'fresh', 'tremor', 'earthquak', 'felt', 'omani', 'nation', 'search', 'rescu', 'team']","['20', 'second', 'long', 'fresh', 'tremor', 'earthquak', 'felt', 'omani', 'nation', 'search', 'rescu', 'team']","['20', 'second', 'long', 'fresh', 'tremor', 'earthquak', 'felt', 'omani', 'nation', 'search', 'rescu', 'team']"
mani peopl stay tent expect one two month report,negatif,mani peopl stay tent expect one two month report,"['mani', 'peopl', 'stay', 'tent', 'expect', 'one', 'two', 'month', 'report']","['mani', 'peopl', 'stay', 'tent', 'expect', 'one', 'two', 'month', 'report']","['mani', 'peopl', 'stay', 'tent', 'expect', 'one', 'two', 'month', 'report']"
allegedli work death 47 hour non stop water enough food rescu dog die turkey yet also rescu mani peopl,negatif,allegedli work death 47 hour non stop water enough food rescu dog die turkey yet also rescu mani peopl,"['allegedli', 'work', 'death', '47', 'hour', 'non', 'stop', 'water', 'enough', 'food', 'rescu', 'dog', 'die', 'turkey', 'yet', 'also', 'rescu', 'mani', 'peopl']","['allegedli', 'work', 'death', '47', 'hour', 'non', 'stop', 'water', 'enough', 'food', 'rescu', 'dog', 'die', 'turkey', 'yet', 'also', 'rescu', 'mani', 'peopl']","['allegedli', 'work', 'death', '47', 'hour', 'non', 'stop', 'water', 'enough', 'food', 'rescu', 'dog', 'die', 'turkey', 'yet', 'also', 'rescu', 'mani', 'peopl']"
white rock deputi fire chief norm macleod spent week turkey aid earthquak search rescu part burnabi volunt urban search rescu team video share experi help affect,positif,white rock deputi fire chief norm macleod spent week turkey aid earthquak search rescu part burnabi volunt urban search rescu team video share experi help affect,"['white', 'rock', 'deputi', 'fire', 'chief', 'norm', 'macleod', 'spent', 'week', 'turkey', 'aid', 'earthquak', 'search', 'rescu', 'part', 'burnabi', 'volunt', 'urban', 'search', 'rescu', 'team', 'video', 'share', 'experi', 'help', 'affect']","['white', 'rock', 'deputi', 'fire', 'chief', 'norm', 'macleod', 'spent', 'week', 'turkey', 'aid', 'earthquak', 'search', 'rescu', 'part', 'burnabi', 'volunt', 'urban', 'search', 'rescu', 'team', 'video', 'share', 'experi', 'help', 'affect']","['white', 'rock', 'deputi', 'fire', 'chief', 'norm', 'macleod', 'spent', 'week', 'turkey', 'aid', 'earthquak', 'search', 'rescu', 'part', 'burnabi', 'volunt', 'urban', 'search', 'rescu', 'team', 'video', 'share', 'experi', 'help', 'affect']"
ancient book esther scroll salvag turkey earthquak rubbl,negatif,ancient book esther scroll salvag turkey earthquak rubbl,"['ancient', 'book', 'esther', 'scroll', 'salvag', 'turkey', 'earthquak', 'rubbl']","['ancient', 'book', 'esther', 'scroll', 'salvag', 'turkey', 'earthquak', 'rubbl']","['ancient', 'book', 'esther', 'scroll', 'salvag', 'turkey', 'earthquak', 'rubbl']"
simpson predict,negatif,simpson predict,"['simpson', 'predict']","['simpson', 'predict']","['simpson', 'predict']"
hon pm narendra modi ji offic team help victim feel proud indian amaz leader like hon pm modi ji,positif,hon pm narendra modi ji offic team help victim feel proud indian amaz leader like hon pm modi ji,"['hon', 'pm', 'narendra', 'modi', 'ji', 'offic', 'team', 'help', 'victim', 'feel', 'proud', 'indian', 'amaz', 'leader', 'like', 'hon', 'pm', 'modi', 'ji']","['hon', 'pm', 'narendra', 'modi', 'ji', 'offic', 'team', 'help', 'victim', 'feel', 'proud', 'indian', 'amaz', 'leader', 'like', 'hon', 'pm', 'modi', 'ji']","['hon', 'pm', 'narendra', 'modi', 'ji', 'offic', 'team', 'help', 'victim', 'feel', 'proud', 'indian', 'amaz', 'leader', 'like', 'hon', 'pm', 'modi', 'ji']"
extrem touch interact hon pm narendra modi ji super abl offic team help victim feel prouder prouder indian amaz leader like hon modi ji,positif,extrem touch interact hon pm narendra modi ji super abl offic team help victim feel prouder prouder indian amaz leader like hon modi ji,"['extrem', 'touch', 'interact', 'hon', 'pm', 'narendra', 'modi', 'ji', 'super', 'abl', 'offic', 'team', 'help', 'victim', 'feel', 'prouder', 'prouder', 'indian', 'amaz', 'leader', 'like', 'hon', 'modi', 'ji']","['extrem', 'touch', 'interact', 'hon', 'pm', 'narendra', 'modi', 'ji', 'super', 'abl', 'offic', 'team', 'help', 'victim', 'feel', 'prouder', 'prouder', 'indian', 'amaz', 'leader', 'like', 'hon', 'modi', 'ji']","['extrem', 'touch', 'interact', 'hon', 'pm', 'narendra', 'modi', 'ji', 'super', 'abl', 'offic', 'team', 'help', 'victim', 'feel', 'prouder', 'prouder', 'indian', 'amaz', 'leader', 'like', 'hon', 'modi', 'ji']"
late scene crime,negatif,late scene crime,"['late', 'scene', 'crime']","['late', 'scene', 'crime']","['late', 'scene', 'crime']"
podcast episod like tear away soul listen thank episod,positif,podcast episod like tear away soul listen thank episod,"['podcast', 'episod', 'like', 'tear', 'away', 'soul', 'listen', 'thank', 'episod']","['podcast', 'episod', 'like', 'tear', 'away', 'soul', 'listen', 'thank', 'episod']","['podcast', 'episod', 'like', 'tear', 'away', 'soul', 'listen', 'thank', 'episod']"
work war foot save survivor,negatif,work war foot save survivor,"['work', 'war', 'foot', 'save', 'survivor']","['work', 'war', 'foot', 'save', 'survivor']","['work', 'war', 'foot', 'save', 'survivor']"
pleas pray turkey,positif,pleas pray turkey,"['pleas', 'pray', 'turkey']","['pleas', 'pray', 'turkey']","['plea', 'pray', 'turkey']"
dr n purnachandra rao chief scientist seismolog nation geophys research institut warn similar magnitud immin happen time rais mani alarm northern state toi,negatif,dr n purnachandra rao chief scientist seismolog nation geophys research institut warn similar magnitud immin happen time rais mani alarm northern state toi,"['dr', 'n', 'purnachandra', 'rao', 'chief', 'scientist', 'seismolog', 'nation', 'geophys', 'research', 'institut', 'warn', 'similar', 'magnitud', 'immin', 'happen', 'time', 'rais', 'mani', 'alarm', 'northern', 'state', 'toi']","['dr', 'n', 'purnachandra', 'rao', 'chief', 'scientist', 'seismolog', 'nation', 'geophys', 'research', 'institut', 'warn', 'similar', 'magnitud', 'immin', 'happen', 'time', 'rais', 'mani', 'alarm', 'northern', 'state', 'toi']","['dr', 'n', 'purnachandra', 'rao', 'chief', 'scientist', 'seismolog', 'nation', 'geophi', 'research', 'institut', 'warn', 'similar', 'magnitud', 'immin', 'happen', 'time', 'rai', 'mani', 'alarm', 'northern', 'state', 'toi']"
beauti pictur,positif,beauti pictur,"['beauti', 'pictur']","['beauti', 'pictur']","['beauti', 'pictur']"
indian inspir world india alway help whole world continu dharma teach us entir univers vasudaika famili thank pm shri ji,positif,indian inspir world india alway help whole world continu dharma teach us entir univers vasudaika famili thank pm shri ji,"['indian', 'inspir', 'world', 'india', 'alway', 'help', 'whole', 'world', 'continu', 'dharma', 'teach', 'us', 'entir', 'univers', 'vasudaika', 'famili', 'thank', 'pm', 'shri', 'ji']","['indian', 'inspir', 'world', 'india', 'alway', 'help', 'whole', 'world', 'continu', 'dharma', 'teach', 'us', 'entir', 'univers', 'vasudaika', 'famili', 'thank', 'pm', 'shri', 'ji']","['indian', 'inspir', 'world', 'india', 'alway', 'help', 'whole', 'world', 'continu', 'dharma', 'teach', 'us', 'entir', 'univ', 'vasudaika', 'famili', 'thank', 'pm', 'shri', 'ji']"
anoth earthquak struck turkey syria bring death toll 44 000 peopl ten thousand left homeless injur,negatif,anoth earthquak struck turkey syria bring death toll 44 000 peopl ten thousand left homeless injur,"['anoth', 'earthquak', 'struck', 'turkey', 'syria', 'bring', 'death', 'toll', '44', '000', 'peopl', 'ten', 'thousand', 'left', 'homeless', 'injur']","['anoth', 'earthquak', 'struck', 'turkey', 'syria', 'bring', 'death', 'toll', '44', '000', 'peopl', 'ten', 'thousand', 'left', 'homeless', 'injur']","['anoth', 'earthquak', 'struck', 'turkey', 'syria', 'bring', 'death', 'toll', '44', '000', 'peopl', 'ten', 'thousand', 'left', 'homeless', 'injur']"
work war foot save survivor,negatif,work war foot save survivor,"['work', 'war', 'foot', 'save', 'survivor']","['work', 'war', 'foot', 'save', 'survivor']","['work', 'war', 'foot', 'save', 'survivor']"
pictur alway stay memori,negatif,pictur alway stay memori,"['pictur', 'alway', 'stay', 'memori']","['pictur', 'alway', 'stay', 'memori']","['pictur', 'alway', 'stay', 'memori']"
unfortun wrong day could celebr year build fall famili due current administr,negatif,unfortun wrong day could celebr year build fall famili due current administr,"['unfortun', 'wrong', 'day', 'could', 'celebr', 'year', 'build', 'fall', 'famili', 'due', 'current', 'administr']","['unfortun', 'wrong', 'day', 'could', 'celebr', 'year', 'build', 'fall', 'famili', 'due', 'current', 'administr']","['unfortun', 'wrong', 'day', 'could', 'celebr', 'year', 'build', 'fall', 'famili', 'due', 'current', 'administr']"
quit comprehend seen last two week fixer driver work hard help us incred grappl person grief grief countri,negatif,quit comprehend seen last two week fixer driver work hard help us incred grappl person grief grief countri,"['quit', 'comprehend', 'seen', 'last', 'two', 'week', 'fixer', 'driver', 'work', 'hard', 'help', 'us', 'incred', 'grappl', 'person', 'grief', 'grief', 'countri']","['quit', 'comprehend', 'seen', 'last', 'two', 'week', 'fixer', 'driver', 'work', 'hard', 'help', 'us', 'incred', 'grappl', 'person', 'grief', 'grief', 'countri']","['quit', 'comprehend', 'seen', 'last', 'two', 'week', 'fixer', 'driver', 'work', 'hard', 'help', 'us', 'incr', 'grappl', 'person', 'grief', 'grief', 'countri']"
